Entity,Code,Year,Conversion therapy (current)
Tunisia,TUN,2023,04. Not banned
Turkey,TUR,2023,04. Not banned
Turkmenistan,TKM,2023,04. Not banned
Turks and Caicos Islands,TCA,2023,03. Ambiguous
Tuvalu,TUV,2023,04. Not banned
Uganda,UGA,2023,04. Not banned
Ukraine,UKR,2023,04. Not banned
United Arab Emirates,ARE,2023,04. Not banned
United Kingdom,GBR,2023,04. Not banned
United States,USA,2023,02. Varies by region
Uruguay,URY,2023,01. Banned
Uzbekistan,UZB,2023,04. Not banned
Vanuatu,VUT,2023,04. Not banned
Vatican,VAT,2023,04. Not banned
Venezuela,VEN,2023,04. Not banned
Vietnam,VNM,2023,01. Banned
Wallis and Futuna,WLF,2023,03. Ambiguous
Western Sahara,ESH,2023,03. Ambiguous
Yemen,YEM,2023,04. Not banned
Zambia,ZMB,2023,03. Ambiguous
Zimbabwe,ZWE,2023,04. Not banned
